iter	PRAUC	Logloss
0	0.5051742147	0.6789184069
1	0.5499002384	0.6674182993
2	0.5517574834	0.6566598131
3	0.5591474061	0.6462445102
4	0.5648073085	0.6353907278
5	0.570708164	0.6263425676
6	0.5723605266	0.6179202335
7	0.579723204	0.6098194472
8	0.5800840031	0.6025053451
9	0.5810271368	0.5966262917
10	0.5802017647	0.5903284155
11	0.5799543825	0.5856561764
12	0.5837752667	0.5822387955
13	0.5814045858	0.5786434778
14	0.587047962	0.5743933056
15	0.5866181656	0.5708068797
16	0.5904709736	0.5670533309
17	0.5956424681	0.5635880232
18	0.5969006105	0.5608724559
19	0.6059570495	0.5587363947
20	0.6066130586	0.5554704285
21	0.6055386041	0.5530301663
22	0.6056798202	0.551699534
23	0.6066006889	0.5488876267
24	0.6111381324	0.5474170747
25	0.6129522377	0.544621489
26	0.6174818098	0.5424634726
27	0.6176260513	0.5413443152
28	0.6186482935	0.5394310854
29	0.6190079987	0.5375552079
30	0.6186786917	0.5364551057
31	0.6200006431	0.5344107684
32	0.6208336261	0.5330339721
33	0.6212601999	0.5312398078
34	0.6250450091	0.5291726329
35	0.6251199584	0.527849171
36	0.6285325727	0.5263738286
37	0.6288791512	0.5253411567
38	0.6288926579	0.5234815599
39	0.6301751946	0.5227248916
40	0.6372113148	0.5213295331
41	0.6371338629	0.5203651101
42	0.6382934956	0.5190884082
43	0.6398208288	0.5182886329
44	0.6403324662	0.5168966613
45	0.6448874281	0.5158083333
46	0.6457724064	0.515156102
47	0.648212009	0.5141938592
48	0.6498084514	0.5132368022
49	0.6509630583	0.5119210426
50	0.652900999	0.510913085
51	0.6581720478	0.5098703824
52	0.6594721747	0.5091197366
53	0.660288361	0.5080189981
54	0.6608290345	0.5079050306
