iter	PRAUC	Logloss
102	0.6578713268	0.5144913739
103	0.6579343947	0.5141102928
104	0.6588089367	0.5137027178
105	0.659886047	0.5130779552
106	0.6597884168	0.5126239336
107	0.6603583537	0.5120202273
108	0.6611622197	0.5115453464
109	0.6611247276	0.5113205005
110	0.6617828961	0.5108573394
111	0.6617690134	0.5105060242
112	0.6624102913	0.5099532344
113	0.6631533999	0.509684553
114	0.6644858088	0.5090295548
115	0.6649854124	0.508716774
116	0.66709099	0.5081436041
117	0.6675528123	0.5079122131
118	0.667325999	0.5076480888
119	0.6680098916	0.5071915795
120	0.6685006911	0.5069146649
121	0.6680779274	0.5066501741
122	0.669789498	0.506215883
123	0.6701617013	0.505809301
124	0.6704217966	0.5054387739
125	0.6732595479	0.5046325834
126	0.6735233637	0.504258884
127	0.6736447039	0.5039084351
128	0.6742120976	0.5035835898
129	0.674316214	0.5033960021
130	0.674671481	0.5030174191
131	0.6745528902	0.5024675751
132	0.675999765	0.5022080875
133	0.6769792806	0.5017842098
134	0.677718747	0.5014222129
135	0.6805956008	0.5007346013
136	0.6809437435	0.5003875015
137	0.6822395181	0.4999178088
138	0.6829658631	0.4995707547
139	0.6849204045	0.4989765457
140	0.6853545204	0.4986572127
141	0.6852960832	0.4983969187
142	0.6861259527	0.4978927008
143	0.6867511734	0.4976499
144	0.6874323182	0.4970882196
145	0.689048925	0.496842718
146	0.6895587893	0.4963259421
147	0.6899240777	0.496090335
148	0.6907681433	0.4956986187
149	0.6918308921	0.49527027
150	0.6922778014	0.4949122593
151	0.6922300698	0.4945771987
152	0.6933219301	0.4941925117
153	0.694287149	0.4938166151
154	0.6946436191	0.4934743323
155	0.6957775333	0.4930804525
156	0.696058938	0.492662197
157	0.6960909594	0.4924963234
158	0.6960296438	0.4923621298
159	0.6972796897	0.4920056768
160	0.6986229976	0.4915094994
161	0.699736208	0.4911571044
162	0.7010814176	0.4905601277
163	0.7019440286	0.4901789097
164	0.7022137103	0.4898847962
165	0.702346906	0.4896476104
166	0.702587267	0.4891405245
167	0.7027989502	0.4888615382
168	0.7038362202	0.4884587696
169	0.7039090151	0.4881681155
170	0.7048393983	0.4876528531
171	0.7048830792	0.4876196045
172	0.7053543957	0.4872694297
173	0.705426999	0.4872545022
174	0.7054755369	0.4870697599
175	0.7066978563	0.4864848579
176	0.7071117617	0.4861718288
177	0.7076688452	0.4857683929
178	0.7092999547	0.4853784461
179	0.7097272372	0.4851809884
180	0.7098094891	0.4851691443
181	0.7102468304	0.4849166701
182	0.7106005512	0.4845525124
183	0.7120006639	0.4839292172
184	0.7130576672	0.4833847611
185	0.7130542009	0.4831384258
186	0.7133459417	0.482852767
187	0.7139193166	0.4825741997
188	0.714647884	0.4821320725
189	0.7156149285	0.4816923169
190	0.7177103889	0.4810119506
191	0.7179800946	0.4805289805
192	0.718619294	0.4801157302
193	0.7194161622	0.479859209
194	0.7194646745	0.4795643815
195	0.7196205388	0.4793617698
196	0.7201118542	0.4791870766
197	0.7206707798	0.4787321023
198	0.7217301814	0.4781501844
199	0.7218996364	0.4778181849
200	0.7227977985	0.4773033958
201	0.7233471514	0.477105077
202	0.7236265495	0.4768157656
203	0.7246882145	0.476437167
204	0.7250192556	0.4762341793
205	0.7255708841	0.4759035413
206	0.7262405014	0.4756723692
207	0.7282041175	0.4750918761
208	0.7285452112	0.4748653011
209	0.7286886825	0.4748167653
210	0.7296646426	0.4743499205
211	0.7296715907	0.4741911713
212	0.7304085983	0.4738113253
213	0.7307521684	0.4734731779
214	0.7314495246	0.4730852542
215	0.7327630866	0.4724486767
216	0.7336635892	0.4721548092
217	0.7335730481	0.4721308114
218	0.7339118358	0.4719743971
219	0.7342263384	0.4716332409
220	0.7344296813	0.4714622797
221	0.7345124835	0.4713418618
222	0.7357666133	0.4708346766
223	0.7363621641	0.4705567118
224	0.7369219829	0.4702569803
225	0.737092105	0.4699865114
226	0.7374268766	0.4697920687
227	0.7378797382	0.4695914301
228	0.7391332667	0.4690880815
229	0.7402361379	0.4686609066
230	0.7405631254	0.4684033771
231	0.7412321103	0.4681203539
232	0.7418293565	0.467863798
233	0.7420997988	0.4677336074
234	0.7423620877	0.4674181284
235	0.7423736567	0.4671549998
236	0.7435705515	0.4667246376
237	0.7441557063	0.4663762724
238	0.7443725202	0.4661497426
239	0.7445549617	0.4659689375
240	0.7448169708	0.4657393131
241	0.7456690664	0.4654289281
242	0.7459477282	0.4650787875
243	0.7463509359	0.4647149048
244	0.74641998	0.464565015
245	0.7468707761	0.464285111
246	0.7480203282	0.4638542953
247	0.7481127553	0.4637224845
248	0.7489984048	0.463256606
249	0.7493446952	0.4629847056
250	0.7507334266	0.4626934557
251	0.7514767328	0.4624390358
252	0.7520681848	0.4621783583
253	0.7519581682	0.4618474823
254	0.7533522042	0.4613838118
255	0.7550610564	0.4607143369
256	0.7554251015	0.4604295431
257	0.7558196188	0.4602722651
258	0.755875532	0.4601827101
259	0.7567659224	0.4597738038
260	0.7572802372	0.4595882164
261	0.758204641	0.45922651
262	0.7590926424	0.4588120381
263	0.7597896434	0.4584037842
264	0.7599607983	0.4581889953
265	0.7606611346	0.4579086121
266	0.7609729942	0.4576798111
267	0.7616339544	0.4572879404
268	0.7622302055	0.457012623
269	0.7625690207	0.4567978506
270	0.7635624173	0.4563842612
271	0.7642406846	0.4559516213
272	0.7646777542	0.4556961238
273	0.7650825451	0.455481046
274	0.7652362318	0.455327482
275	0.7656618364	0.4547343307
276	0.7656967706	0.4545570921
277	0.765974462	0.4543918259
278	0.7662313457	0.4541295097
279	0.7672397009	0.4536044493
280	0.7677110775	0.4533001525
281	0.768133542	0.4530382639
282	0.7688949342	0.4525245705
283	0.7692563572	0.4521152845
284	0.7703123745	0.451716335
285	0.771354773	0.4511304851
286	0.7721314132	0.4507451863
287	0.7726677906	0.4504801785
288	0.7729537445	0.4502308629
289	0.7737902765	0.4497742124
290	0.7746512533	0.4492555853
291	0.7751312518	0.4488210465
292	0.7759621006	0.4483425226
293	0.7760547225	0.4482024325
294	0.7761653001	0.447970778
295	0.7768904773	0.4477125246
296	0.7769733969	0.4474839214
297	0.7771253303	0.447249808
298	0.7772376323	0.4471505625
299	0.7775755168	0.4468333399
300	0.7777663078	0.4466361336
301	0.7781870127	0.446431797
302	0.7786893856	0.4461701912
303	0.7792567522	0.4459148382
304	0.7794049611	0.4457311635
305	0.7802646024	0.4452984595
306	0.7810412283	0.4449182409
307	0.7812856405	0.4447109745
308	0.7818309721	0.4443358904
309	0.7823314347	0.4440908581
310	0.7830548083	0.4436401331
311	0.7832602416	0.4435683655
312	0.7835738993	0.4432998622
313	0.7838755554	0.4429983856
314	0.7848168758	0.4424814239
315	0.7853006897	0.4421815914
316	0.786476448	0.4417260757
317	0.7868559537	0.4413543146
318	0.7871801825	0.4411826723
319	0.7875936011	0.440929459
320	0.7879901228	0.4406372465
321	0.788494684	0.4402287036
322	0.7893345064	0.4397338751
323	0.7897632192	0.4394767767
324	0.7904906316	0.4390105273
325	0.7907144722	0.4388878705
326	0.7914890816	0.4385103495
327	0.7924953112	0.4381586752
328	0.7925683438	0.4378819029
329	0.7928236662	0.4375803852
330	0.793943316	0.4370338389
331	0.794141546	0.4368913036
332	0.7945869466	0.4365489722
333	0.7950263812	0.4363950998
334	0.7958003994	0.4358998695
335	0.796212757	0.4357201623
336	0.7963798476	0.4354472111
337	0.7966721699	0.4352154562
338	0.7968768382	0.4349404936
339	0.7972775234	0.4345660382
340	0.7979142685	0.4343286802
341	0.7981972455	0.4338315039
342	0.7988232458	0.4335517281
343	0.799169467	0.4332598463
344	0.7994733845	0.4330243731
345	0.7995809652	0.4328188541
