year,serial,pernum,winning_model_p,winning_model_high_recall
2011,783859,1,0.24693972920756385,0
2011,912609,1,0.12527894630813624,0
2018,885527,1,0.17555798931271877,0
2013,200262,2,0.16842756138161885,0
2015,965135,2,0.15281165623924067,0
2019,149093,2,0.25808512284387997,0
2010,195537,1,0.1572265807525362,0
2017,313201,1,0.21780121381177994,0
2010,628786,2,0.12664036261395403,0
2016,313768,1,0.20290451890442063,0
2015,761425,2,0.18327582942567192,0
2013,980386,1,0.161333168727741,0
2018,466809,2,0.13420333163725606,0
2016,109734,1,0.15588827907963299,0
2018,872136,2,0.3398712354533177,1
2013,147689,1,0.21241475412661204,0
2015,81158,2,0.13767801657475845,0
2009,883565,1,0.2594618558452193,0
2017,187955,2,0.14123131456544916,0
2013,93025,1,0.2536722130030643,0
2015,95562,1,0.2535557601213154,0
2010,90443,1,0.14767665040306807,0
2016,234180,1,0.18572366494794726,0
2014,764813,1,0.15547758033037953,0
2014,1172295,2,0.149782432726225,0
2010,171579,2,0.32642654067972254,1
2011,188732,1,0.13058157373210919,0
2015,880896,1,0.29749184727770833,1
2015,1160045,1,0.29494360835283195,1
2019,558424,2,0.1792503948371678,0
2016,398854,1,0.10281119059817244,0
2013,775171,1,0.26279339525373474,1
2016,177675,1,0.118183257447795,0
2017,299487,2,0.17893869077262586,0
2011,370948,2,0.1545102728447842,0
2016,1167747,2,0.2206072120600466,0
2012,218696,2,0.19594475468625563,0
2016,82920,2,0.15495826464213808,0
2015,1092869,1,0.1851432753586143,0
2011,460824,2,0.11667677069104082,0
2009,367090,1,0.20805851964547617,0
2015,807999,1,0.17801432838083325,0
2015,245852,1,0.22143653453841788,0
2019,1227637,1,0.11348620888618802,0
2010,435514,1,0.1500050505645022,0
2017,1290263,2,0.13334068321003595,0
2011,279362,1,0.197872847479514,0
2019,312969,2,0.205339287812246,0
2019,146756,2,0.16110268422007512,0
2012,827795,2,0.11553302936161687,0
2019,534624,2,0.32447900174140937,1
2011,778290,1,0.28401995797613844,1
2019,216766,1,0.15196154651388946,0
2013,1050686,2,0.1668706802266567,0
2018,1395874,2,0.20791689484072484,0
2018,1198504,1,0.21329821377577746,0
2016,772301,3,0.11405140287805177,0
2018,635850,1,0.18491864216003903,0
2013,304218,2,0.18947289132000864,0
2017,845130,1,0.12347260481236383,0
2015,84534,2,0.22965310998058752,0
2015,341038,2,0.34435035340537884,1
2016,829649,1,0.15958849745196116,0
2011,595074,1,0.1192457255257807,0
2018,328086,1,0.14074579209450444,0
2009,91422,2,0.1677138143455561,0
2017,307042,1,0.16360841776880589,0
2019,631794,1,0.23431966685444566,0
2014,1191487,2,0.44465366025910924,1
2014,143697,3,0.4393074410920471,1
2016,187323,2,0.17550236941840264,0
2012,298368,1,0.12726539356358457,0
2011,775639,2,0.28350641665184517,1
2014,1145343,2,0.22446188197675082,0
2019,1285109,1,0.20396466119514858,0
2019,853762,1,0.24536994804594917,0
2017,274792,1,0.19043374376862057,0
2014,1315239,1,0.15718159956972982,0
2010,1099394,1,0.12642063813870047,0
2012,1102607,2,0.29049102884376177,1
2019,922014,1,0.13573173365273736,0
2015,138120,1,0.12904308351537971,0
2009,548306,1,0.15087271504051045,0
2010,1251242,1,0.15223268549399066,0
2016,1231692,2,0.13268228666036283,0
2018,856974,2,0.2704411902138318,1
2019,181356,1,0.16470408041567938,0
2019,137550,2,0.23952506138026528,0
2019,204238,6,0.14650097124333392,0
2016,279866,2,0.3764606647724377,1
2015,139674,1,0.2011899510342589,0
2015,96979,1,0.21373145646996666,0
2017,782988,1,0.30921017777898185,1
2018,149989,1,0.11776566439101967,0
2011,239298,2,0.14089423257659364,0
2016,1217853,1,0.19414465090160773,0
2012,28135,1,0.15906480829782818,0
2012,782571,2,0.3257256552021318,1
2014,760396,1,0.15419797105787283,0
2017,1169486,1,0.17810302340980033,0
2010,369404,2,0.13646547236488507,0
2009,619128,1,0.13600204483922468,0
2012,72400,2,0.18904623160191905,0
2015,368847,1,0.18412807372504572,0
2010,803163,2,0.13828222171436555,0
2013,776398,1,0.16047551549341663,0
2011,299697,1,0.10705633827885502,0
2009,124748,1,0.21488945041657195,0
2018,396440,1,0.2710322674836022,1
2010,183420,1,0.21090963020640394,0
2016,1154133,1,0.19562650015095517,0
2013,244869,1,0.15394391721501252,0
2012,136721,1,0.1625447013960103,0
2013,1172929,1,0.3281450781123028,1
2013,832885,1,0.3885564022269359,1
2012,160748,1,0.31526706904593577,1
2015,385927,1,0.15398595887867605,0
2016,320842,1,0.1639492892555215,0
2017,291399,2,0.1835661611973682,0
2017,190540,1,0.18313025854191897,0
2010,700679,1,0.11745391932056644,0
2015,121001,1,0.14420553904306962,0
2011,1237415,1,0.2122039384062018,0
2018,344910,1,0.42852807025188994,1
2015,246279,1,0.12927752644323173,0
2015,471201,1,0.11168750436900438,0
2017,934137,1,0.14448770580007642,0
2016,125556,1,0.20285012123002633,0
2012,1163921,1,0.20433768215901107,0
2013,164758,1,0.22653882874735,0
2017,860977,1,0.1888892879957107,0
2018,163735,1,0.31263344516701846,1
2018,796817,1,0.14034550111486735,0
2012,361994,1,0.1643278848000611,0
2017,118229,2,0.11302420269616145,0
2015,316064,2,0.4491353834662695,1
2015,316634,1,0.21815256601305402,0
2019,961264,1,0.1650959400642289,0
2019,803589,1,0.18814485091241467,0
2012,525269,1,0.15692348328774633,0
2019,216841,1,0.1771600276392004,0
2019,623111,1,0.11715645622789092,0
2016,792482,1,0.25780542151805025,0
2009,856839,1,0.3322343305720406,1
2011,1171474,1,0.16047551549341663,0
2012,380418,1,0.19852501137694914,0
2017,160562,1,0.13086535059244664,0
2017,1241281,2,0.3775729948593966,1
2011,783730,2,0.41156992743567505,1
2018,341391,1,0.1563353561763853,0
2010,229807,1,0.298850228911492,1
2018,180841,1,0.28699488829010666,1
2014,798552,2,0.12933704723975067,0
2019,402290,1,0.17939484715552742,0
2018,290452,1,0.3113645325751303,1
2012,502732,1,0.10708799853100011,0
2013,244366,1,0.14335786118416521,0
2013,623082,1,0.18707628569973742,0
2015,884885,2,0.24982550315261431,0
2016,90350,1,0.19557390889389545,0
2011,586094,2,0.15525525396491344,0
2017,799604,2,0.31590227579976443,1
2019,1244651,1,0.20612331677147328,0
2014,1202551,2,0.13408662838713833,0
2019,1275770,2,0.10271012111187611,0
2012,140765,2,0.21774793780554347,0
2012,1278061,2,0.13567253658186162,0
2014,21163,1,0.1347162268234491,0
2009,207170,1,0.1390140758569674,0
2011,186782,1,0.1730187379488146,0
2013,308454,1,0.15958601967880967,0
2010,85899,1,0.17576190889321097,0
2018,654775,2,0.12877097816733205,0
2010,644866,1,0.2895005182642329,1
2013,771626,1,0.2041373273005922,0
2015,765382,1,0.2321943546670666,0
2011,463392,1,0.15869439955481157,0
2017,623300,2,0.1236764968706331,0
2018,859388,1,0.29296118251171055,1
2017,117597,1,0.23106120181677825,0
2010,361081,1,0.15395831898320816,0
2009,1182000,1,0.1613795201023539,0
2015,320308,1,0.4340216141472969,1
2017,307733,2,0.17902120304028588,0
2009,489114,1,0.1869665212979218,0
2011,77389,1,0.20519681744908327,0
2015,924911,1,0.24749443803735446,0
2018,328620,1,0.19306849980002985,0
2013,823890,1,0.34567625339102387,1
2015,816018,2,0.1151055207953199,0
2019,687162,1,0.16944431220322562,0
2015,483932,1,0.19492282163253744,0
2018,1292424,1,0.12929291489669303,0
2017,779871,1,0.11705267523681988,0
2010,402142,1,0.10807999951143908,0
2009,167257,1,0.2468197232829687,0
2017,599384,4,0.11870883525110704,0
2010,798313,1,0.16574119670996987,0
2017,1146737,2,0.10773476792208936,0
2019,1250560,1,0.22119853495325947,0
2011,1091648,1,0.18622101407862204,0
2009,613585,1,0.25519823830461535,0
2019,1260561,2,0.21026158572072512,0
