iter	PRAUC	Logloss
0	0.5016760254	0.6817882143
1	0.5380109277	0.6725811132
2	0.5385171873	0.6639402614
3	0.5508052595	0.6563832233
4	0.5636011041	0.6483205154
5	0.5728383092	0.6411688922
6	0.5830675873	0.633783582
7	0.5885144189	0.627482077
8	0.5922128938	0.6228034493
9	0.5894547415	0.618561059
10	0.5950758089	0.6143991236
11	0.5972239381	0.6106615337
12	0.6043289032	0.6079912146
13	0.6036649301	0.6045009174
14	0.605573037	0.6012437566
15	0.6071569731	0.5979068029
16	0.6128583756	0.5945355881
17	0.6151589672	0.5913349936
18	0.6131412255	0.5892021097
19	0.6160807008	0.5877037594
20	0.6165719672	0.5856692734
21	0.6139173689	0.5829738883
22	0.6118357473	0.5809416485
23	0.612878228	0.5778478083
24	0.6175921668	0.5757277678
25	0.6210220889	0.5732911272
26	0.6304735381	0.5708875144
27	0.634061614	0.569591612
28	0.6337673255	0.56860052
29	0.6347604391	0.5669616855
30	0.6363567971	0.5656233646
31	0.6384308309	0.5645915653
32	0.6383135113	0.5630148648
33	0.6409642639	0.5613552517
34	0.6451084915	0.5598926678
35	0.6460670361	0.5585697174
36	0.6471973669	0.5574261258
37	0.6483911982	0.5563330741
38	0.6496842485	0.5548986453
39	0.6522652889	0.5534645513
40	0.6546204416	0.552664749
41	0.6567426614	0.5513266352
42	0.6595780016	0.5500975768
43	0.6604291847	0.5491915173
44	0.6613872676	0.5483436534
45	0.6607299349	0.5482410638
46	0.6613177585	0.5473900648
47	0.6625221871	0.5465213937
48	0.6622657289	0.5456707566
49	0.6631431995	0.5448716331
50	0.6650694888	0.5440776408
51	0.6674755405	0.5434520176
52	0.6670807554	0.5432850606
53	0.666909424	0.5426144168
54	0.668027052	0.5418178145
55	0.6679632247	0.5408428156
56	0.6709167409	0.5396439912
57	0.6717597418	0.5391875014
58	0.6755557175	0.5378352061
59	0.6780034883	0.536785978
60	0.6800455068	0.5358661059
61	0.6799074618	0.5350666352
62	0.6804248001	0.534254432
63	0.6815895893	0.5334987108
64	0.6816936047	0.5330107626
65	0.6843870606	0.5322222419
66	0.6858588704	0.5312785713
67	0.6866975425	0.530692357
68	0.6883933308	0.5300579866
69	0.6902060667	0.5295125942
70	0.6925003764	0.5288086505
71	0.6932744409	0.528108336
72	0.6962827195	0.527069956
73	0.6978143537	0.526415381
74	0.6984239033	0.5259043982
75	0.6986617372	0.5253660524
76	0.6994199517	0.5246742079
77	0.7013814403	0.5237437298
78	0.7036242993	0.5231212459
79	0.7048597749	0.5223683057
80	0.7063579601	0.5214766924
81	0.7080828764	0.5207132609
82	0.7086929028	0.5201860691
83	0.7104015872	0.5196856488
84	0.7103376438	0.5189975853
85	0.711015788	0.5181752203
86	0.7113277745	0.5175911115
87	0.7114194873	0.5172321225
88	0.7122336601	0.5166606865
89	0.7170577527	0.5154988174
90	0.717346381	0.5147060198
91	0.7177055067	0.5141340061
92	0.7178573785	0.5140358244
93	0.7195534076	0.5131598431
94	0.7203254184	0.5126314419
95	0.7229009358	0.5117765917
96	0.7234483628	0.5113254382
97	0.7243222575	0.5107251187
98	0.7258377067	0.5097129819
99	0.7269820907	0.5093335413
100	0.7278331833	0.5085291385
101	0.7280865551	0.5082378428
