iter	PRAUC	Logloss
0	0.5081195578	0.6809876488
1	0.5320485978	0.6716845127
2	0.5361028784	0.6623522484
3	0.5341661401	0.6538561116
4	0.548672161	0.6455363199
5	0.5536575346	0.638091079
6	0.5584299303	0.6310031899
7	0.5686707237	0.6246386911
8	0.5703138785	0.6194192775
9	0.5703635694	0.6146401728
10	0.574254642	0.6096853236
11	0.5724307551	0.605471755
12	0.5854477174	0.6021325281
13	0.5869533258	0.5984420269
14	0.5889921952	0.5953511941
15	0.593357229	0.5920306271
16	0.5945238255	0.5895678072
17	0.5930867526	0.5871013071
18	0.5912521403	0.5850744152
19	0.5956931237	0.5831971506
20	0.5996086884	0.5809272462
21	0.5983003954	0.5782240357
22	0.6003454145	0.5767646093
23	0.6017612391	0.5738793329
24	0.6079626312	0.5719192969
25	0.6089573539	0.5701939325
26	0.6129138041	0.5682428445
27	0.6126139666	0.5669001075
28	0.6128888869	0.5655233497
29	0.6137240396	0.5643585975
30	0.6140170143	0.5633387755
31	0.6191127217	0.5620237495
32	0.6209900173	0.5607286309
33	0.6226940986	0.5587946043
34	0.6247024912	0.5574938464
35	0.6247846868	0.5563866232
36	0.6269262838	0.554977127
37	0.6305618714	0.5538356266
38	0.632105347	0.5524691961
39	0.6332735609	0.5507738925
40	0.6360981611	0.5498135932
41	0.6363352036	0.5486450199
42	0.6390983058	0.5475536463
43	0.6415528542	0.5464921178
44	0.6415432789	0.5456440703
45	0.6409034283	0.5454943126
46	0.6458634912	0.5442800497
47	0.646203912	0.5430940035
48	0.6499636327	0.5418105249
49	0.6512963314	0.5410519729
50	0.6522509855	0.5402650768
51	0.6530956893	0.5396845035
52	0.6529715755	0.539513959
53	0.6566345395	0.5384060681
54	0.6582727836	0.5372796639
55	0.6594164182	0.5363535926
56	0.6641272543	0.5350935034
57	0.6674788553	0.533814683
58	0.670540142	0.532679137
59	0.6735171538	0.5311301682
60	0.6756885583	0.5302418217
61	0.6780079242	0.5291948639
62	0.6789971208	0.5284849146
63	0.6798963012	0.5276603449
64	0.6793292565	0.5271349607
65	0.6809780373	0.5263350995
66	0.6805622132	0.5257504585
67	0.6811954707	0.5249900656
68	0.6818851419	0.5245590062
69	0.6821582603	0.52383608
70	0.6827947555	0.5234670818
71	0.6829627306	0.5227303621
72	0.6841773424	0.5217166768
73	0.6856986753	0.5210471133
74	0.6858850549	0.5204553019
75	0.6870137712	0.5199362108
76	0.6908065621	0.5187862466
77	0.6910116895	0.5180837497
78	0.692811096	0.517254983
79	0.6943773794	0.5166492201
80	0.6949713528	0.5159796295
81	0.6959451775	0.5153890317
82	0.6985097105	0.5143566478
83	0.6990664523	0.5138984385
84	0.6990189721	0.5134171966
85	0.6999117995	0.512882707
86	0.7007474545	0.5120506492
87	0.7012974644	0.5114682436
88	0.702848545	0.5107653293
89	0.7036327538	0.510104788
90	0.7059416356	0.5092119939
91	0.706190633	0.5085930288
92	0.7073552036	0.5081002836
93	0.7073557514	0.5079559392
94	0.7092151494	0.5071410199
95	0.7114555229	0.5062816803
96	0.7124938752	0.5057757563
97	0.7131050239	0.5051352907
98	0.7144936862	0.5045854572
99	0.7164951713	0.503819423
100	0.717401507	0.5032742533
101	0.7182479278	0.5025142504
102	0.7188872222	0.5019459207
103	0.7197172913	0.5014014522
104	0.7224134774	0.5004457923
105	0.7225623908	0.5003042873
106	0.7231156866	0.4998455467
107	0.7239412439	0.4995206906
108	0.7264532915	0.4984850669
109	0.7279811598	0.4975272201
110	0.7293391007	0.4967166322
111	0.7301570612	0.4960571947
112	0.7309276143	0.4954718869
113	0.7316921241	0.4948193934
114	0.7319404537	0.494501722
115	0.7327929962	0.4940606139
116	0.7345784592	0.4933753888
117	0.7355893785	0.4927717533
118	0.7363619999	0.4922215194
