iter	Passed	Remaining
0	1	739
1	2	696
2	3	641
3	5	640
4	6	636
5	7	630
6	8	630
7	10	630
8	11	630
9	12	626
10	15	675
11	17	697
12	18	704
13	21	736
14	23	753
15	25	776
16	27	786
17	29	786
18	32	815
19	33	804
20	35	806
21	37	812
22	38	806
23	42	835
24	43	825
25	44	816
26	47	826
27	50	855
28	53	862
29	54	857
30	58	890
31	60	882
32	63	901
33	65	891
34	67	892
35	69	894
36	72	902
37	74	906
38	78	927
39	81	940
40	85	955
41	87	950
42	90	957
43	93	972
44	96	976
45	98	976
46	101	976
47	103	971
48	106	977
49	108	979
50	115	1015
51	118	1023
52	121	1023
53	127	1052
54	131	1063
55	135	1076
56	139	1083
57	142	1088
58	146	1093
59	148	1087
60	151	1092
61	154	1089
62	157	1094
63	161	1097
64	164	1100
65	166	1093
66	168	1091
67	172	1097
68	177	1108
69	182	1120
70	186	1129
71	190	1131
72	192	1123
73	193	1115
74	196	1116
75	199	1110
76	201	1107
77	205	1111
78	208	1113
79	210	1107
80	212	1101
81	215	1096
82	217	1093
83	219	1086
84	221	1083
85	224	1083
86	227	1082
87	229	1076
88	233	1077
89	239	1091
90	244	1098
91	247	1098
92	253	1110
93	257	1110
94	259	1107
95	261	1101
96	263	1096
97	266	1091
98	269	1093
99	271	1086
100	274	1083
101	276	1080
102	279	1079
103	284	1083
104	286	1077
105	288	1072
106	289	1064
107	292	1060
108	295	1059
109	297	1053
110	299	1048
111	300	1041
112	303	1038
113	304	1032
114	307	1031
115	310	1026
116	312	1022
117	315	1021
118	319	1022
119	321	1018
120	324	1014
121	326	1013
122	332	1020
123	335	1016
124	337	1011
125	338	1005
126	341	1003
127	344	999
128	347	1000
129	351	999
130	352	994
131	355	991
132	358	987
133	361	988
134	366	991
135	368	986
136	371	983
137	372	977
138	374	971
139	378	973
140	382	975
141	384	969
142	387	968
143	390	964
144	391	959
