iter	PRAUC	Logloss
0	0.4811595173	0.6791763083
1	0.5174663483	0.667534872
2	0.5171863297	0.6582816722
3	0.522845499	0.6487458748
4	0.5335714726	0.6436196013
5	0.5364881665	0.635215479
6	0.5430811739	0.6276704639
7	0.5534834602	0.620701329
8	0.5510350688	0.614122346
9	0.5501855744	0.6100667186
10	0.5613451162	0.6050010121
11	0.5636127892	0.5999655764
12	0.5655436705	0.5957421312
13	0.5728453501	0.5905435468
14	0.5773852246	0.5877445339
15	0.5758535263	0.5830733713
16	0.5770004049	0.5792452049
17	0.5756415404	0.5756922522
18	0.5763266768	0.572878182
19	0.5788155691	0.5702375016
20	0.5826321694	0.5679509026
21	0.5850108838	0.5657586451
22	0.5883801493	0.5634349441
23	0.5876861215	0.5613266562
24	0.587142325	0.5605760683
25	0.5884425064	0.5584041011
26	0.5913454382	0.5560570944
27	0.5912616443	0.5545849561
28	0.5941964258	0.5529571762
29	0.5944507913	0.55193804
30	0.593877004	0.5511013138
31	0.5944292073	0.5490621228
32	0.5950861305	0.5470907525
33	0.6030692558	0.5453295214
34	0.6050262951	0.5441817845
35	0.6113856026	0.5428323487
36	0.6132251242	0.5414047242
37	0.613078554	0.5396122855
38	0.6141167734	0.5388186587
39	0.6166747774	0.5372907224
40	0.6190005077	0.5360939118
41	0.6215302269	0.5351477677
42	0.6210247719	0.5341217763
43	0.6206017947	0.5330976342
44	0.6209823666	0.5319769367
45	0.6214828974	0.530974034
46	0.6208937173	0.5305056547
47	0.6259290924	0.5296452356
48	0.6308133349	0.5279582915
49	0.631371509	0.5269942395
50	0.6313876542	0.5261825102
51	0.6336039835	0.5251155799
52	0.6342863601	0.5246699641
53	0.6345877182	0.5242647303
